University	City	"World University 
Rankings"	"University 
Ranking"	Program	Requirements	IELTS/TOEFL	Deadline	LINK	Tuition fee	Scholarship	Contacts	Extra
Yunnnan University 	Kunming	" THE
2024
#372"	" QS
2024
#497"	"Software Engineering,
 Artificial Intelligence
, Computer Science and
Technology"	"(1) Application Form for International Students. Please download and fill out the
form on Yunnan University International Student Service System
(2) Foreigner Physical Examination Form.
(3) Passport photo page.
(4) Personal ID photo, named after passport number
(5) Notarized highest degree certificate: Prospective degree winners must submit
official proof of student status by their current school. Admitted students need to provide
the original degree certificate and submit the scanned copy upon registration.
(6) Academic transcripts.
(7) A Study Plan in Chinese.
(8) Recommendation Letter (if applicable)
(9) Applicants under the age of 18 should submit the valid documents of their legal
guardians in China.
(10) English language qualification certificate. e.g. IELTS or TOFEL report.
(11) Non-criminal record report.
(12) Proof of financial guarantee."	"IELTS (Academic) or TOEFL level test with an IELTS score of 6.5
or a TOEFL score of 90;"	by 30th April, 2024 	http://english.ynu.edu.cn/ynuundergraduate.html	2500$	http://english.ynu.edu.cn/ynuscholarships.html	"Contacts: Ms. Guo, Ms. Chen
Tel:+86-871-65032910
Fax: + 86-871-65183424
Email:lxsk@ynu.edu.cn"	
Northwestern Polytechnical University	"Xi""an "	" THE
#326"	 QS2024#624	"School of Aeronautics
School of Astronautics
School of Marine Science and Technology
School of Materials Science and Engineering
School of Mechanics,Civil Engineering and Architecture
School of Electronics and Information
School of Automation
School of Computer Science
School of Management
School of Life Sciences
School of Foreign Studies"	"1.  A clearly scanned copy of the personal information page on the valid passport in color.
 2.  A clearly scanned copy of the high school graduation certificate.
3.  A scanned copy of the high school academic transcript for the entire high school period.
4.  A Self-Introduction on prescribed form (click here to download the template form for Self-introduction ).
5.  Proof of Chinese or English proficiency.
6.  Non-criminal record certificate issued within last 5 months.
7.  Notarized copies of other awards or academic achievements (if any).
8.  Physical Examination Certificate base on the prescribed format which should be produced within the last 6 months (click here to download Physical Examination Certificate template).
9.  Applicants who will be under the age of 18 as of September 1st, 2022 must submit the following documents:
(1) Guardian’s Authorization Letter; the document should be an original copy and notarized .
2) Guardian’s Guarantee Letter; the guardian should provide the valid ID scanned copy"	"TOEFL ≥ 80
IELTS≥ 6.0 (Academic)"	"First batch: November 15, 2023, to February 15, 2024

Second batch: February 16, 2024, to March 15, 2024

Third batch: March 16, 2024, to April 15, 2024

Fourth batch: April 16, 2024, to May 15, 2024"	https://studyat.nwpu.edu.cn/index.htm	3200$	https://studyat.nwpu.edu.cn/SCHOLARSHIPS1.htm	"Postcode: 710072

Tel：86-29-88494381

Email：admission@nwpu.edu.cn("	
Jiangsu University 	Zhenjiang	"THE
#681"		"Business Administration
Clinical Medicine(MBBS)
Corporate Finance
E-Commerce
Accounting
Mechanical Design, Manufacturing and Automation
Materials Science and Engineering and more"	"A passport photo;
Copy of passport (the photo page)
Copy of your final degree transcript (Notarized English translation if applicable)
Copy of your final degree certificate (Notarized English translation if applicable)
English language proficiency certificate (non-English speaking countries)
HSK-4 certificate (for Chinese-Medium programs)
Family financial statement
Research proposal (Master and PhD only)
2 recommendation letters (Master and PhD only)"	"TOEFL ≥ 80
IELTS≥ 6.0 (Academic)"	"Spring Intake
Nov. 11th, 2023
Jan. 26th, 2024
Mar.7, 2024
Autumn Intake
Apr. 1st, 2024
Jul. 31st, 2024
Sep.5th, 2024"	https://oec.ujs.edu.cn/en.htm	2600$-5100$	https://oec.ujs.edu.cn/en/SCHOLARSHIPS.htm	#ERROR!	
South-China Normal University	Guangzhou	"THE
#768"		"School of Education / School of Special Education
School of Politics & Administration
School of History & Culture
School of Foreign Studies
College of International Culture
School of Fine Arts
School of Information Technology in Education
School of Mathematical Sciences and more"	"1. Application Form for Chinese Government Scholarship (filled in Chinese or English online);
2. Application Form for International Students of South China Normal University;
3. A scanned copy of the Ordinary Passport information page. An applicant shall submit a clear scanned copy of the information page of his/her passport that will not expire on or before March 1, 2024. Renew the passport if the requirement is not met;
4. Notarized highest diploma(degree certificate) and transcripts（the original notarized copies issued directly by your school/university or public notary office with an official stamp）. Prospective diploma recipients should submit an official pre-graduation certificate, transcript and on-school performance certificate issued by your current school. The pre-graduation certificate should prove not only your current student status, but also the expected degree certificate and graduation date. Documents in languages other than Chinese or English must be attached with notarized Chinese or English translations;
5. A copy of valid HSK certificate is required if applying for Chinese-taught program；
6. A study or research proposal written in Chinese or in English (no less than 1000 words);
7. Two recommendation letters in Chinese or English from professors or associate professors;
8. A photocopy of Foreigner Physical Examination Form (The original document, printed by Chinese quarantine authorities, shall be filled in English or Chinese and kept by the applicant.) The medical examinations must cover all the items listed in the Foreigner Physical Examination Form. Incomplete forms or forms without the signature of the attending physician, or the official stamp of the hospital, or a sealed photograph of the applicant are invalid. Medical examination results are valid for only six months;
9. A valid Certificate of Non-Criminal Record in English or Chinese. The applicant shall submit a valid certificate of Non-Criminal Record (or Police Clearance Certificate) issued by the local public security authority (such as the police station), usually issued within 6 months prior to the submission date of the application."	"TOEFL ≥ 80
IELTS≥ 6.0 (Academic)"		http://english.scnu.edu.cn/	3200$	http://english.scnu.edu.cn/a/20220331/4.html	"Contact person: Mr. Li or Ms. Ye

Tel: 0086-20-85215052 or 0086-20-85215093

E-mail:  csc_scnu@163.com"	
Shandong University of Science and Technology	Jinan			"Mechatronic Engineering
• Telecommunications Engineering
• Chemical Engineering and Technology
• Software Engineering
• Civil Engineering"	"Application Form
• Copy of passport
• Resume
• Copy of Senior High School Diploma and Transcript
• Financial Statement
Copy of Receipt of Application Fee Foreigner Physical Examination Form"	" 
         
TOEFL ≥ 80
IELTS≥ 6.0 (Academic)
"	July 31,2024	https://cie.sdust.edu.cn/Studying_in_SDUST/Admissions.htm	2600$	https://www.csc.edu.cn/	▶E-mail：admission@sdust.edu.cn	https://ciss-org-cn.oss-cn-beijing.aliyuncs.com/video/%E5%B1%B1%E4%B8%9C%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6/2024/2024%E6%8B%9B%E7%94%9F%E7%AE%80%E7%AB%A0.pdf
Hangzhou Normal University	Hangzhou			"School of Economics  
School of Public Administration              
Alibaba Business School   
 Shen Junru Law School                           
School of Marxism           
Jing Hengyi School of Education                                                 
School of Sport Science and Physical Education                 
School of Humanities                  
School of International Studies    
School of Mathematics     and more "	"You should support all information provided by uploading relevant documents (in English or Chinese, or together with officially certified English/Chinese translations if the documents are not in English/Chinese), including:
transcript
certificate
testimonial
public examination results, etc.
to your application. You will be asked to present the original documents for verification if you are offered admission."	"TOEFL ≥ 80
IELTS≥ 6.0 (Academic)
"		https://english.hznu.edu.cn/			"Tel: 86-571-28865041

Email: Lcai@hznu.edu.cn, hxw@hznu.edu.cn"	
Wenzhou University	Wenzhou 			"School of Business
International Economics and Trade
Business
Administration
Biotechnology
School of Business
College of Life &
Environmental Science
College of Computer Science and Artificial
Intelligence
College of Law
Collegeccationational
College of Architecture &
Civil Engineering
College of Mechanical and
Electrical Engineering"	"1. Graduation certificate of high school. *Graduation certificate should be in Chinese or English.If not, it should be translated into Chinese or English and be notarized.
2. An official transcript from the college you have recently attended. * Official transcript should be in Chinese or English.If not, it should be translated into Chinese or English and be notarized
3. Two Recommendation letters ( only for Master applicant)
4. Certificate of English proficiency test
*IELTS or TOEFL will only be required if the applicant is not a native English speaker （IELTS 6.0 or TOEFL IBT 70 paper based 550 ）
5. A photocopy of your passport
6. Bank statement (normally the balance is enough for your first year tuition fee and accommodation fee )
7. No Criminal Report (if necessary)
8. Health report ( within the validation period)"	IELTS 6.0 or TOEFL IBT 70 	1 April—30 July	https://cic.wzu.edu.cn/	2900$	https://cic.wzu.edu.cn/APPLY/Scholarships.htm	"Tel：0086-577-86680971

E-mail：admission@wzu.edu.cn"	
Changan University	Xi’an			"School of Highway
School of Automobile
School of Construction Machinery  
School of Economics and Management  
School of Electronics and Control Engineering 
Information Engineering School
School of Civil Engineering "	"PASSPORT& VISA
DIPLOMA/DEGREECERTIFICATE
TRANSCRIPTS
NONCRIMINAL RECORD CERTIFICATE/NON OBJECTION LETTER
FOREIGNERPHYSICAL EXAMINATION FORM
LANGUAGESKILL CERTIFICATE（HSK,TOEFL, IELTS)"	"TOEFL IBT 68 or above;

IELTS 5.5 or above;

DUOLINGO 85 or above."	31 march	https://ies.chd.edu.cn/en/main.htm	2400 $	https://ies.chd.edu.cn/en/8918/list.htm	Email: apply@chd.edu.cn	
SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS	Shanghai 			"Business Administration
International Economy & Trade
Finance
Investment
Public Administration
Accoutancy
Financial Management
Law
Chinese Language
"	"1. Photo
2. Passport identification page
3. High school diploma
4. High school academic transcript
5. HSK result slip and certificate
6. Personal statement
7. One reference letter
8. Police Clearance Certificate 
9. Guarantee of Financial Support
10. Foreigner's Physical Examination Report 
11. Certificates of your foreign nationality
12. Chinese visa/residence permit
 (for those living in the Chinese mainland at the time of application)
13. Certificates recognizing awards & merits
 (if any)"	"         
TOEFL ≥ 80
IELTS≥ 6.0 (Academic)
"	January 1, 2024-April 30, 2024	https://english.sufe.edu.cn/	4400$	https://intlstu.sufe.edu.cn/12445/list.htm	E-mail: ices@mail.sufe.edu.cn	
Beijing Language and Culture University	Beijing			"Chinese Language
International Chinese Language Education
International Economics and Trade (Economics) Minor: Chinese Language (Applied Chinese, Literature)   
Finance (Economics) Minor: Chinese Language (Applied Chinese, Literature) 
Health Services and Management (Management) Minor: Chinese Language (Applied Chinese, Literature)
Sinology
Chinese Studies
Translation (English-Chinese/ Korean-Chinese)
Communication Studies
International Organizations and Global Governance"	"1. Applicant's passport information page
2. Certificate of high school diploma and academic transcript of all semesters (Documents in languages other than Chinese or English must be attached with notarized Chinese or English translations.)
* Prospective diploma recipients must submit original pre-graduation letter issued by their current school to prove the current student status and expected graduation date. Once admitted, applicants must resubmit the graduation certificate and degree certificate before registration. If the documents required cannot be provided on schedule, the admission qualification will be canceled.
3. HSK certificate
4. Letter of Recommendation (written in Chinese or English with no fixed formats. Please let the reference sign in person,and attach valid contact information);
5. The registration fee 800 RMB, which must be paid online by International Student Application System. This expense is non-refundable. 
6. Scan of Emergency Contacts’ valid credentials (Passport, ID card, etc.; if the guarantor is a foreigner in China, their valid visa in China will also be required).
7. Other materials required by corresponding majors.

  "	:IELTS 5.5 overall and above.	"If enrolled in March 2024, deadline of application: Jan. 12, 2024.

If enrolled in September 2024, deadline of application: June 14, 2024."	https://english.blcu.edu.cn/	3650$-6000$	https://admission.blcu.edu.cn/en/11/list.htm	"cn@blcu.edu.cn (中文)

en@blcu.edu.cn (英语)"	
Shanghai Jiao Tong University School of Medicine 	Shanghai 			"•	Schools & Departments
•	Hospitals
•	College of Basic Medical Sciences
•	School of Public Health
•	School of Nursing
•	Pediatric College
•	College of Stomatology
•	Sino-French Joint School of Medicine
•	Ottawa-Shanghai Joint School of Medicine
•	School of Global Health
•	College of Health Science and Technology
"	"Application Form
• Copy of passport
• Resume
• Copy of Senior High School Diploma and Transcript
• Financial Statement
Copy of Receipt of Application Fee Foreigner Physical Examination Form"					https://www.shsmu.edu.cn/iso_en/Admission/Scholarship.htm		
Beihua University 	Jilin											
Anhui University of Science and Technology				"International Trade（Business）
Civil Engineering
"	"1. Scanned copy of valid passport (including pages of Chinese visa or residence permit, if applicable) 
2. Digital photo (100k-500k, white background)3. Notarized scanned copy of the highest diploma
4. Notarized scanned copy of transcripts during the highest education period
5. Scanned copy of Foreigner Physical Examination Form(attachment2)
6. Scanned copy of English language proficiency certificate (For non-English speaking countries)
7. Two recommendation letters from referees (Master and Ph.D only，attachment3)
 8. Research proposal (Ph.D only) 
"	IELTS 5.5 (academic module) or TOFEL (IBT) 70 or equivalent	 before June 30	https://en.ahut.edu.cn/	2200$	https://en.ahut.edu.cn/International_____Students_/Admissio/Scholarships.htm	"Phone:86-555-2315905/2311023

Fax: 86-555-2315905/2473747

Email: ahutforeign@163.com; "	
Donghua University	Shanghai	"THE
2024
#531"	" QS
2024
#913"	"CIP: Business Administration (BBA)
CIP: International Trade (BIT)
CIP: Marketing (BMK)
SCF: Fashion and Accessory Design (Fashion Innovation)
SCF: Environment Design (Fashion Interior Design)"	"1．Passport (and visa) page
2．Graduate/school leaving certificate and the transcripts of all grades/semesters of your higher secondary school (or equivalent level such as IB, A-Level, etc.)
3．Language credentials
4．Personal statement
5.  Curriculum Vitae
6．Certificate of no criminal conviction
7．Statement of financial support"	Certificate of IELTS Academic at least 5.5, or TOEFL IBT at least 72.	" for scholarships: April 15, 2024

l for self-funded study: June 15, 2024 



"	https://english.dhu.edu.cn/undergraduate/list.htm	7300$	https://english.dhu.edu.cn/2021/0618/c5218a282521/page.htm	"Tel: 86-21- 62379336

Email: iso@dhu.edu.cn      "	
Xiangtan University 	Hunan 			"Philosophy
Sociology
History
Cultural Industry Management
History of the Communist Party of China
International Affairs and International Relations
Ideological and Political Education
Economics
Finance"	"1. Non-Chinese citizens, aged 18 (by September 1, 2024) or over, physically and mentally healthy, able to perform well in an academic program.
*Chinese citizens who apply to enter colleges and universities as foreign students after immigrating to foreign countries must hold a valid foreign passport or nationality certificate for more than 4 years (inclusive) and a record of actual residence abroad for more than 2 years (9 months of actual residence abroad in a year can be regarded as one year, based on the entry and exit stamps) within the last 4 years (by April 30, 2022)
2. Adhere to Chinese laws and university regulations. Respect Chinese culture.
3. Applicants must be:
● High school graduates and below the age of 30 when applying for undergraduate programs.
●Bachelor’s degree holders and below the age of 35 when applying for master’s degree programs.
●Master’s degree holders and below the age of 40 when applying for doctoral degree programs.
● High school graduates and below the age of 45 when applying for non-degree programs.
4. Language requirements:
HSK level 4 or above for Chinese-medium programs; IELTS 6.0 or above or TOEFL 80 or above for English-medium programs."	IELTS 6.0 or above or TOEFL 80 or above for English-medium programs.	Deadline for degree program applicants: April 30, 2024	 https://www.xtu.edu.cn/	2300$	https://en.xtu.edu.cn/Academics/Scholarship_for_Overseas_Students.htm	"Telephone: 0086-731-58293938
Fax: 0086-731-58298801
Email: lxsb@xtu.edu.cn"	
North China Electric Power University 	Beijing 	#936 THE Rankings		"Engineering Management (School of Economics and Management)
Electrical Engineering and its Automation (School of Electric)
Business Administration (School of Economics and Management)
Mechanical Engineering (School of Energy, Power and Mechanical"	"1. Personal information page of the passport (Passport valid until January 30, 2025 and beyond)；
2. High school diploma;
3. Original or notarized transcripts of all courses in high school;
4. Proof of language proficiency
Certificate of HSK5 Chinese Proficiency Test with a score of 180 (inclusive) or above (valid for 2 years).
5. Personal statement;
6. Physical examination form for foreigners (within six months) or a current valid Chinese visa.
7. Certificate of payment for the registration fee;"	IELTS 6.0 or above or TOEFL 80 or above for English-medium programs.	Application deadline is 30th April.	https://english.ncepu.edu.cn/jyyj/index.html	3400$	https://studyatncepu.ncepu.edu.cn/Admissions/Scholarship/index.htm	Email:xxhb@ncepu.edu.cn	
Yangzhou University	Yangzhou			" Engineering in Microelectronics Science and Engineering
 Engineering in Polymer Materials and Engineering
 Engineering in Mechanical Design, Manufacturing and Automation
 Engineering in Software Engineering 
 Engineering in Civil Engineering 
 Engineering in Environmental Engineering
 Science in Animal Science 
 Science in Biotechnology 
Medicine in MBBS
Science in Pharmacy"	"1. be a non-Chinese citizen in physical and mental health.
2. be an academically excellent holder of a bachelor’s degree or its equivalent aged between 18 and 35 (by March 31, 2024) when applying for a master’s program;
"	IELTS 6.5 or above.	Before May.30	https://english.yzu.edu.cn/	2100$-4400$	http://coe.yzu.edu.cn/en/Scholarships/International_Chinese_Language_Teachers_Scholars.htm	"Bachelor Program Consultations

Ms. Xin (QI Xin)

EMAIL:008373@yzu.edu.cn"	
Chengdu University	Chengdu	" THE
#838"		"School of Literature and Journalism
School of Tourism and Culture Industry
School of Pharmacy
Business School
School of Foreign Languages and Cultures
College of Chinese & ASEAN Arts (School of Fine Arts and Design)
College of Chinese & ASEAN Arts (School of Music and Dance)College of Chinese & ASEAN Arts (School of Film and Animation)
School of Architecture and Civil Engineering
"	"1) Copy of certificate and notarized copy of the highest academic degree;
2) Copy of high school transcript;
3) Personal statement, including self-introduction, educational background, goal and plan of studying in China;
4) Applicants for Painting Major should submit three sketches and three
colouring works; applicants for the Design major should submit 10 works; applicants for the Instrumental and Vocal Performance should submit one video clip with size less than 300M; applicants for the Animation major should submit 10 works, and applicants for the Radio & Television Directing and Editing Major should submit a set of film and television works;
5) Copy of passport;
6) Copy of health form;
7) Copy of Certificate of No Criminal Record;
8) Recent (shot within 3 months) bareheaded front ID photo (white background);
9) HSK (Level IV) Certificate obtained within two years;
10) Bank statement issued within 2 months (bank deposit should be RMB 25,000 or above);
11) Copy of transfer certificate and existing visa or residence certificate (required if the student has a visa issued by another school at the time of application).
12) Applicants may be asked to supplement materials that the college/school deems necessary, including taking interviews."	"TOEFL ≥ 80
IELTS≥ 6.0 (Academic"	 December 1, 2023-June 15, 2024	https://en.cdu.edu.cn/	2000$-3100$	https://en.cdu.edu.cn/ss.jsp?wbtreeid=1152	webmaster@cdu.edu.cn /oice@cdu.edu.cn	
Jiangnan University	Jiangnan 		#1052 QS Rankings	"School of Design
School of Medicine 
School of Business"	"• A Color Scanned Copy of Passport (Photo Page, Visa Page if applicable)
• A Color ID Photo Valid within 6 Months (JPG. JPEG. No Bigger than 1M)
• A Color Scanned Copy of the High School Diploma or Provisional Certificate
• A Color Scanned Copy of the High School Transcript.
• A Color Scanned Copy of Chinese/English Proficiency Test Certificate
• Financial Support Certification
• Official Bank Statement (Transaction record details within 6 months)
• Guarantee Statement (for an Applicant below 18 Years)
• Non-criminal Record
• Physical Examination Record (Within 6 Months)
• An Applicant for Design Programs Is Required to Provide at Least 3 Works of Art; an Applicant for the Choreography Program Is Required to Submit a Video Portfolio.
Note A: Non-Chinese or Non-English documents are required for attachment of Chinese or English translation either notarized or issued by the original or-ganization.
Note B: All the above materials are required to be color scanned and submit-ted. They are to be verified upon registration."	"Ielts 5,5+
Toefl 75+"	November 1- 30 June	"
Website:http://studyabroad.jiangnan.edu.cn/English/Home.htm"	2200$-2500$	https://studyabroad.jiangnan.edu.cn/English/Scholarships/CSC_Scholarship_Bilateral_Program_.htm	"Tel: 0086-510-85329235, 85919552
Email:admissions@jiangnan.edu.cn\"	
China University of Geosciences	Wuhan			"Telecommunication Engineering
Business management
"	"Application Form
• Copy of passport
• Resume
• Copy of Senior High School Diploma and Transcript
• Financial Statement
Copy of Receipt of Application Fee Foreigner Physical Examination Form"	TOEFL ibt 80 or IELTS 6.0 overall or above.	The deadline for Silk Road Program is April 5th 2022.	https://eniec.cug.edu.cn/index.htm	3200$-5100$	https://eniec.cug.edu.cn/Scholarships/Chinese_Government_Scholarship.htm	"Tel: +86-27-6788 3283

Fax: +86-27-8751-5956

Email: overseas@cug.edu.cn"	
Qingdao University of Science & Technology 	Qingdao 			" Economics and Management Programs
Liberal Arts Programs
Arts Programs
Science and Technology Programs"	"(1) A completed “Application Form for Foreigners Desiring to Study in Qingdao University of Science and Technology”. The Form can be downloaded from：
(2) Photocopies of schooling certificates and transcripts (in Chinese or English);
(3) A photocopy of passport;
(4) Resume (in Chinese or in English);
(5) A letter of guarantee in Chinese or in English (Students shall guarantee in the letter that they will abide by the laws and decrees of the Chinese government, and will not participate in any activities in China which are deemed to be adverse to the social order of China and are inappropriate to the capacity as a student);
(6) Study or research plan: (in Chinese or in English), no less than 800 words;
(7) Photocopies of New HSK score report (Level 4 or above). The applicants for English medium programs do not need to provide New HSK score report;
(8) Applicants for Master's degree and Doctoral degree programs need to provide two letters of recommendation in Chinese or English from professors or associate professors."	"         
TOEFL ≥ 80
IELTS≥ 6.0 (Academic"	before May 30th	https://en.qust.edu.cn/INTERNATIONAL_STUDENTS/Catalogue_of_Academic_Programs1.htm	3100$	https://en.qust.edu.cn/INTERNATIONAL_STUDENTS/Categories___Qualifications_of_International_Stu1.htm	0532-88956566  wanghao@qust.edu.cn	
The University of Nottingham Ningbo China				"Aerospace Engineering
Architectural Environment Engineering
Architecture
Chemical Engineering
Chemistry
Civil Engineering
Computer Science
Computer Science with Artificial Intelligence
Economics"	"One recommendation letter on
headed paper, signed and/or
stamped
Transcript of school exam results
(completed or results so far)
High School Certificate
English language test score report if
already received (e.g. IELTS or PTE)
Prepare your application :
Further enquiries on application,
Personal statement
One photocopy of the main pages
from your passport
One 2*2 inch color bareheaded photo
with white background (Note: the
head occupies two thirds of the size
of the photo; no less than 320 × 240
pixels, the aspect ratio is 4: 3; the size
is 100-500kb; jpg format)"	"IELTS 6.5 (no less than 6.0 in writing)
PTE Academic 62 (minimum 55)
TOEFL iBT 87"	The closing date for applications is 31 May 2022.	https://www.nottingham.edu.cn/en/	16000$	"https://www.nottingham.edu.cn/en/study-with-us/fees-and-scholarships/index.aspx



https://www.nottingham.edu.cn/en/global/scholarship/entryscholarship.aspx"	"E. admissions@nottingham.edu.cn
T. +86 (0574) 8818 0182"	
Qingdao Technological University	Qingdao 			"School of Civil Engineering
School of Mechanical and Automotive Engineering
School of Architecture and Urban Planning
School of Environmental and Municipal Engineering
School of Information and Control Engineering
School of Science
School of Management Engineering
Business School
School of Humanities and Foreign Languages
School of Arts"				https://english.qut.edu.cn/				
 Yuncheng University					"1.  Please find the form in the attachment and let the students fill in the form first;
2.  Scan copy of the passport;
3.  Scan copy of the passport picture;
4.  Scan copy of the health certificate;
5.  The insurance of the study period;
6.  Scan copy of the schooling certificates in your university and Chinese translation;
7.  Scan copy of the diploma and Chinese translation;
8.  Scan copy of the Curriculum Vitae, including birth place, educational background, reference’s contact information, working experience(if had), sponsor(name and contact information) and Chinese translation;
 As for education background, please state from primary school to University(period, name of the school, reference, reference’s contact information)
 If he/she had working experience during the school, please state that when, where, reference and reference’s contact information)
 The occupation of his or her family members and contact information
 Scan copy of his or her high school diploma
9.  Original financial statement: foreign students need to deposit 2500 Euro under their name in the bank and ask the bank to issue them a bank slip and certificate of deposit and Chinese translation.
Please translate the documents above into an English one."					http://ycu.admissions.cn/schoolScholarship		
Jimei University								http://www.ucmsr.com/meminfo/33			"Tel：+86-592-2186167; +86-592-2188373; +86-592-2188331

Fax: +86-592-2180240

Email: ucmsr@xmu.edu.cn"	
️ Huaqiao University	"Guangzhou
Xiamen"			"International School
School of Economics and Finance
Law
Physical Education
Chinese Language and Literature
Mathematics and Applied Mathematics
Data Science and Big Data Technology
Tourism Management
Fine Arts "	"(1) Complete personal information and valid contact information;
(2) Passport ID page and one-inch color photo (passport validity should be on or after October 2024);
(3) Certified or authenticated high school or above diploma, annual academic transcripts of high school; if graduation certificates and transcripts are in English, please attach official translations which are authenticated;
(4) Transcripts and corresponding translations of high school graduation examinations or UEC/A Level/AP/IB/SAT/ACT for reference;
(5) HSK Certificate;
(6) Recommendation letter by applicants’ high schools, overseas Chinese groups or communities, renowned overseas Chinese leaders, or overseas admission offices of HQU in the local countries;
(7) Physical examination materials in recent six months;
(8) In accordance with Chinese Ministry of Education’s Regulations on Recruiting International Students for Higher Institutions, any applicantwho has immigrated from China (including the Chinese Mainland, Hong Kong, Macao and Taiwan) to foreign countries should submit (a) Chinese nationality cancellation certificate; (b) Certificate of foreign nationality; (c) Entry and exit records for the latest 4 years (till April 30th, 2023) issued by the entry and exit administration offices; any applicant who has acquired foreign nationality at birth because one or both of his/her parents are Chinese nationals settling abroad, should submit (a) Certificate of foreign nationality at birth; (b) Proof of permanent residence of his/her parents (Chinese citizens) in the foreign country before the applicant’s birth; (c) Entry and exit records for the latest 4 years (till April 30th, 2023) issued by the entry and exit administration offices."	"IELTS 6,0+
Toefl 80+"	Application deadline: July 1st, 2023	https://en.hqu.edu.cn/Admissions/Undergraduate_Admission.htm	2200$-4000$	https://en.hqu.edu.cn/Admissions/Scholarships.htm	"Tel: +86-592-6161258; +86-595-22695678

Fax: +86-592-6161258; +86-595-22691575

Email: hquwz@hqu.edu.cn; hqdxjwzs@sina.com"	
Shanghai University of Political Science and Law	Shanghai			"School of International Law
School  of  Government
School of Economics and
Management
Shanghai   Documentary
Academy
School of Languages and
Cultures"		"IELTS 6,0+
Toefl 80+"		https://www.shupl.edu.cn/en/main.htm	3400$-4700$	https://www.shupl.edu.cn/en/1649/list.htm	"FAX:+86-21-39225275    

Email: admission@shupl.edu.cn

Website: http://www.shupl.edu.cn"	
Liaoning Institute of Science and Technology	Benxi			"Civil Engineering

Computer Science and Technology

Mechanical Design, Manufacturing and Automation"	"I. Personal photo

II. Certified copies of the data page and one blank visa page of your passport

III. Certified copies of your highest degree certificate and transcripts

IV. Valid report of Chinese or English language proficiency tests

V. Physical examination report"	-		http://en.lnist.edu.cn	2200$	https://en.lnist.edu.cn/admission/scholarship.htm	"Tel : 8624-43164322, 8624-43164123

Fax: 8624-43164122

E-mail: lkyhzc@lnist.edu.cn"	
Beijing Union University	Beijing			"Tourism Management
Hotel Management
Convention & Exhibition 

Management
Culinary Arts
International Business
International Economy and 

Trade
Chinese Language and

Literature
Chinese Language  (Economic 

and Trade Orientation) "	"(1) The applicant must be a citizen of foreign nationality and in good health. The applicant should hold a valid foreign passport and abide by the laws and regulations of the Chinese government and the rules and regulations of the school.

(2) The applicant seeking a bachelor’s degree must have high school graduate certificate or above.

(3) The academic performance, academic level and language ability of the applicant must meet the admission requirements of the target program. The student applying for the program taught in Chinese must submit the original or photocopy of HSK; HSK4 certificate is needed for the undergraduate application; For those who apply for the programs taught in English and whose native language is not English, they are required to submit TOEFL score of 70 on computer-based test or IELTS score of 5, or other evidence of English language proficiency.

(4) The applicants must have no criminal behavior or bad credit record in China. BUU requires a guarantee of financial resources and a guarantor in China from each applicant."	TOEFL score of 70 on computer-based test or IELTS score of 5	 November 1 to July 10 	https://english.buu.edu.cn/	3800$	https://english.buu.edu.cn/col/col33919/index.html	E-mail: ldwsc@buu.edu.cn	
Qingdao University of Science & Technology 	Qingdao			"School of medicine
Business
Chinese Language "	"1、Application Form for degree-seeking international students at Qingdao university(Fill in online）

2、Copy of your passport（Scan upload）

3、Diploma from high-school or college（University），Transcripts.(Scan upload)

4 HSK Certificate (Scan upload)

5 Certificate of English proficiency For English-taught Program (Scan upload)

6、Financial Guarantee Statement with front page of the sponsor’s passport or proof of identification."	IELTS (6.0 or above), new TOEFL (75 points or above)	"Classroom teaching: Before April 20, 2023

Separate teaching: Before June 20, 2023"	https://english.qdu.edu.cn/	4400$	http://istudy.qdu.edu.cn/en/article?cid=22&pid=21	" International Students Office, Qingdao University, 308 Ningxia Road, Qingdao 266071

（Tel）：(86) 532-85953863; 邮箱：oip@qdu.edu.cn"	
Lanzhou Jiatong University	Lanzhou				"1) The applicant must be non-Chinese with a valid passport;

2) The applicant must be in good health;

3) The applicant must have no criminal record

4) Requirement to Educational Background and Age:

The applicant for Chinese language training must be over 17 years old

The applicant for a bachelor’s degree programme must be over 18 years old and must have a high school graduation certification;

The applicant for a master’s degree programme must be over 18 years old and must have a bachelor’s degree;

The applicant for a doctoral degree programme must be over 18 years old and must have a master’s degree;

6) An effective HSK certificate （level 3 or above）is required for an applicant for the degree programme. Those who have no this certificate must attend a one-year Chinese training programme before starting their majors."		All the application materials are required to be scanned and submitted by Email and post from Jan. 1st to Dec. 30th.	http://lzjtu.ciss.org.cn/Index	3200$	http://lzjtu.ciss.org.cn/Scholarships		
